1C:Enterprise programming language	1C:Enterprise_programming_language
A# .NET	A_Sharp_(.NET)
A-0 System	A-0_System
A+	A%2B_(programming_language)
A++	A%2B%2B
ABAP	ABAP
ABC	ABC_(programming_language)
ABC ALGOL	ABC_ALGOL
ACC	ACC_(programming_language)
Accent	Accent_(programming_language)
Ace DASL (Distributed Application Specification Language)	Distributed_Application_Specification_Language
Action!	Action!_(programming_language)
ActionScript	ActionScript
Actor	Actor_(programming_language)
Ada	Ada_(programming_language)
Adenine	Adenine_(programming_language)
Agda	Agda_(theorem_prover)
Agilent VEE	Agilent_VEE
Agora	Agora_(programming_language)
AIMMS	AIMMS
Aldor	Aldor
Alef	Alef_(programming_language)
ALF	Algebraic_Logic_Functional_programming_language
ALGOL 58	ALGOL_58
ALGOL 60	ALGOL_60
ALGOL 68	ALGOL_68
ALGOL W	ALGOL_W
Alice	Alice_(programming_language)
Alma-0	Alma-0
AmbientTalk	AmbientTalk
Amiga E	Amiga_E
AMOS	AMOS_(programming_language)
AMPL	AMPL
AngelScript	AngelScript
Apex	Apex_(programming_language)
APL	APL_(programming_language)
App Inventor for Android's visual block language	App_Inventor_for_Android_(programming_language)
AppleScript	AppleScript
APT	APT_(programming_language)
Arc	Arc_(programming_language)
ARexx	ARexx
Argus	Argus_(programming_language)
Assembly language	Assembly_language
AutoHotkey	AutoHotkey
AutoLISP / Visual LISP	AutoLISP
Averest	Averest
AWK	AWK
Axum	Axum_(programming_language)
Active Server Pages	Active_Server_Pages
B	B_(programming_language)
Babbage	Babbage_(programming_language)
Ballerina	Ballerina_(programming_language)
Bash	Bash_(Unix_shell)
BASIC	BASIC
bc	Bc_(programming_language)
BCPL	BCPL
BeanShell	BeanShell
Batch file (Windows/MS-DOS)	Batch_file
Bertrand	Bertrand_(programming_language)
BETA	BETA_(programming_language)
BLISS	BLISS_(programming_language)
Blockly	Blockly
BlooP	BlooP_and_FlooP
Boo	Boo_(programming_language)
Boomerang	Boomerang_(programming_language)
Bourne shell	Bourne_shell
C	C_(programming_language)
C--	C--
C++	C%2B%2B
C*	C*
C#	C_Sharp_(programming_language)
C/AL	C/AL
Caché ObjectScript	Cach%C3%A9_ObjectScript
 C Shell (csh)	C_Shell
Caml	Caml
Cayenne	Cayenne_(programming_language)
CDuce	CDuce
Cecil	Cecil_(programming_language)
Cesil	Cesil
Céu	C%C3%A9u_(programming_language)
Ceylon	Ceylon_(programming_language)
CFEngine	CFEngine
Cg	Cg_(programming_language)
Ch	Ch_(computer_programming)
Chapel	Chapel_(programming_language)
Charity	Charity_(programming_language)
Charm	Charm_(language)
CHILL	CHILL
CHIP-8	CHIP-8
chomski	Chomski
ChucK	ChucK
Cilk	Cilk
Citrine	Citrine_(programming_language)
CL	AS/400_Control_Language
Claire	Claire_(programming_language)
Clarion	Clarion_(programming_language)
Clean	Clean_(programming_language)
Clipper	Clipper_(programming_language)
CLIPS	CLIPS_(programming_language)
CLIST	CLIST
Clojure	Clojure
CLU	CLU_(programming_language)
CMS-2	CMS-2_(programming_language)
COBOL	COBOL
CobolScript	CobolScript
Cobra	Cobra_(programming_language)
CoffeeScript	CoffeeScript
ColdFusion	ColdFusion
COMAL	COMAL
Combined Programming Language	Combined_Programming_Language
COMIT	COMIT
Common Intermediate Language	Common_Intermediate_Language
Common Lisp	Common_Lisp
COMPASS	COMPASS
Component Pascal	Component_Pascal
Constraint Handling Rules	Constraint_Handling_Rules
COMTRAN	COMTRAN
Cool	Cool_(programming_language)
Coq	Coq
Coral 66	Coral_66
CorVision	CorVision
COWSEL	COWSEL
CPL	CPL_(programming_language)
Cryptol	Cryptol
 Crystal	Crystal_(programming_language)
Csound	Csound
CSP	Communicating_sequential_processes
Cuneiform	Cuneiform_(programming_language)
Curl	Curl_(programming_language)
Curry	Curry_(programming_language)
Cybil	Cybil_(programming_language)
Cyclone	Cyclone_(programming_language)
Cython	Cython
D	D_(programming_language)
DASL	Datapoint%27s_Advanced_Systems_Language
Dart	Dart_(programming_language)
Darwin	Darwin_(programming_language)
DataFlex	DataFlex
Datalog	Datalog
DATATRIEVE	DATATRIEVE
dBase	DBase
dc	Dc_(computer_program)
DCL	DIGITAL_Command_Language
DinkC	Dink_Smallwood#Modification
DIBOL	DIBOL
Dog	Dog_(programming_language)
Draco	Draco_(programming_language)
DRAKON	DRAKON
Dylan	Dylan_(programming_language)
DYNAMO	DYNAMO_(programming_language)
DAX (Data Analysis Expressions)	Data_analysis_expressions
E	E_(programming_language)
Ease	Ease_(programming_language)
Easy PL/I	PL/I
